date,SPY,AOA,AOR,GLD,EMXC,DXJ,QQQ,IWM,DX-Y.NYB,TLT,CL=F,BTC-USD,BIL,HGER
2014-01-02,148.198532,32.796329,28.171486,118.000000,,31.947838,78.956871,97.128769,80.629997,71.916069,95.440002,,73.324120,
2014-01-03,148.174179,32.818611,28.200979,119.290001,,32.044083,78.386864,97.622467,80.790001,71.916069,93.959999,,73.340103,
2014-01-06,147.744797,32.774025,28.142000,119.500000,,31.723263,78.097359,96.830856,80.650002,72.218781,93.430000,,73.324120,
2014-01-07,148.652206,32.922615,28.311573,118.820000,,31.992756,78.821136,97.639442,80.830002,72.401733,93.669998,,73.340103,
2014-01-08,148.684586,32.907745,28.237848,118.120003,,32.223747,78.993057,97.767143,81.040001,72.204674,92.330002,,73.340103,
2014-01-09,148.781784,32.937458,28.215715,118.459999,,32.069756,78.730659,97.792679,81.010002,72.626945,91.660004,,73.324120,
2014-01-10,149.186905,33.108322,28.400042,120.260002,,32.056919,78.984001,98.328949,80.660004,73.492744,92.720001,,73.340103,
2014-01-13,147.201935,32.744335,28.200979,121.019997,,31.479433,77.816887,96.984039,80.510002,73.858803,91.800003,,73.340103,
2014-01-14,148.806107,33.048885,28.377926,119.889999,,31.870842,79.300652,98.175720,80.610001,73.520897,92.589996,,73.340103,
2014-01-15,149.608231,33.182594,28.451653,119.660004,,32.223747,79.952095,98.907738,81.000000,73.443481,94.169998,,73.340103,
2014-01-16,149.413742,33.123173,28.429533,119.790001,,32.063343,79.961121,99.026924,80.900002,73.936188,93.959999,,73.340103,
2014-01-17,148.781784,33.034042,28.400042,120.930000,,32.198086,79.508736,98.677948,81.260002,74.245911,94.370003,,73.324120,
2014-01-21,149.219315,33.138031,28.451653,119.699997,,32.345673,80.114944,99.265259,81.099998,74.302223,94.989998,,73.340103,
2014-01-22,149.316559,33.204887,28.466398,119.190002,,32.358486,80.323029,99.767448,81.169998,74.119194,96.730003,,73.340103,
2014-01-23,148.093124,32.944912,28.326315,121.790001,,31.421679,80.051590,99.095001,80.440002,75.167992,97.320000,,73.340103,
2014-01-24,144.933456,32.343193,27.906065,122.290001,,30.606791,78.477356,96.566971,80.459999,75.653664,96.639999,,73.324120,
2014-01-27,144.220459,32.164906,27.773359,120.959999,,30.491293,77.717361,95.154045,80.500000,75.125786,95.720001,,73.324120,
2014-01-28,145.079300,32.335773,27.928183,120.949997,,30.767199,77.672142,96.158417,80.570000,75.308769,97.410004,,73.324120,
2014-01-29,143.685791,32.075768,27.751236,122.470001,,30.465620,76.839767,94.770988,80.510002,75.928230,97.360001,,73.340103,
2014-01-30,145.208893,32.335773,27.942932,119.769997,,30.780043,78.260193,96.183975,81.089996,75.709946,98.230003,,73.340103,
2014-01-31,144.358231,32.135197,27.780731,120.089996,,29.907391,78.052116,95.468956,81.269997,76.216789,97.489998,,73.324120,
2014-02-03,141.109375,31.436924,27.404711,121.320000,,28.983408,76.260696,92.481300,81.010002,77.145485,96.430000,,73.324120,
2014-02-04,142.097839,31.696920,27.522686,120.989998,,29.163069,76.821678,93.179276,81.120003,76.326912,97.190002,,73.340103,
2014-02-05,141.919495,31.682072,27.522686,121.290001,,29.098902,76.622635,92.481300,81.029999,75.621208,97.379997,,73.324120,
2014-02-06,143.791077,32.075768,27.765980,121.239998,,29.599392,77.599770,93.213310,80.889999,75.296577,97.839996,,73.324120,
2014-02-07,145.573456,32.380329,27.987162,122.169998,,30.157625,78.984001,94.268799,80.690002,75.360123,99.879997,,73.340103,
2014-02-10,145.840927,32.387775,27.987162,122.919998,,30.016464,79.436356,94.515594,80.669998,75.571800,100.059998,,73.324120,
2014-02-11,147.436844,32.729462,28.208351,124.360001,,30.529789,80.341125,95.358307,80.629997,75.134277,99.940002,,73.324120,
2014-02-12,147.509796,32.766609,28.215715,124.430000,,30.561869,80.494934,95.732834,80.680000,74.746109,100.370003,,73.340103,
2014-02-13,148.271423,32.930042,28.333693,125.489998,,30.298788,81.092064,96.950035,80.290001,75.169586,100.349998,,73.340103,
2014-02-14,149.089676,33.071175,28.422163,127.150002,,30.061382,81.254913,97.086243,80.129997,75.211899,100.300003,,73.340103,
2014-02-18,149.267929,33.190033,28.503260,127.400002,,30.722296,81.653000,98.099113,80.010002,75.381279,102.430000,,73.324120,
2014-02-19,148.279465,32.996883,28.363171,126.269997,,30.395041,81.092064,97.094719,80.169998,75.063698,103.309998,,73.340103,
2014-02-20,149.154465,33.145473,28.473772,127.599998,,30.273123,81.472038,98.141685,80.290001,74.880257,102.919998,,73.340103,
2014-02-21,148.984314,33.130604,28.459024,127.580002,,30.555462,81.363457,98.448112,80.239998,75.275414,102.199997,,73.324120,
2014-02-24,149.810745,33.331173,28.569614,128.990005,,30.901949,81.797768,99.171593,80.209999,75.084885,102.820000,,73.340103,
2014-02-25,149.754044,33.271740,28.540115,129.210007,,30.670950,81.707275,99.273735,80.150002,75.755295,101.830002,,73.340103,
2014-02-26,149.762100,33.279167,28.599112,128.110001,,30.542624,81.634888,99.886620,80.410004,76.157501,102.589996,,73.340103,
2014-02-27,150.547974,33.450027,28.702335,128.199997,,30.549038,82.164536,100.431366,80.290001,76.573853,102.400002,,73.324120,
2014-02-28,150.928802,33.494587,28.702335,127.620003,,30.613201,82.073685,100.031303,79.779999,76.616211,102.589996,,73.340103,
2014-03-03,149.867477,33.182594,28.547504,130.289993,,29.798302,81.464996,99.495049,80.070000,77.127647,104.919998,,73.340103,
2014-03-04,151.973907,33.672882,28.857155,128.679993,,30.735123,82.500671,101.997566,80.160004,75.967552,103.330002,,73.324120,
2014-03-05,152.111694,33.628304,28.842405,128.889999,,30.478460,82.727806,101.937973,80.110001,76.130249,101.449997,,73.340103,
2014-03-06,152.460052,33.769451,28.901392,130.169998,,31.145775,82.655174,101.920944,79.680000,75.380386,101.559998,,73.340103,
2014-03-07,152.524811,33.658016,28.849775,129.089996,,31.126530,82.246307,101.886871,79.720001,74.906433,102.580002,,73.324120,
2014-03-10,152.443832,33.561451,28.783426,129.130005,,31.004608,82.318985,101.546425,79.750000,75.012558,101.120003,,73.324120,
2014-03-11,151.690369,33.398029,28.658085,129.860001,,30.606791,81.964684,100.490944,79.769997,75.210617,100.029999,,73.324120,
