date,account_value,securities_value,cash
2023-01-30,40000.0,0.0,40000.0
2023-01-31,40038.1201,5965.2001,34072.92
2023-02-01,40098.4199,6025.4999,34072.92
2023-02-02,40170.41,9321.49,30848.92
2023-02-03,42040.4599,5127.1999,36913.26
2023-02-06,41996.8601,7168.8401,34828.02
2023-02-07,42026.3503,21102.8803,20923.47
2023-02-08,41802.28,20878.81,20923.47
2023-02-09,41641.8397,18867.1497,22774.69
2023-02-10,41541.1906,20175.9006,21365.29
2023-02-13,41778.34,20413.05,21365.29
2023-02-14,41902.63,20537.34,21365.29
2023-02-15,42064.5703,20699.2803,21365.29
2023-02-16,41628.8294,41602.3294,26.5
2023-02-17,43590.39,41563.89,2026.5
2023-02-21,43028.9598,21651.8598,21377.1
2023-02-22,42726.3405,39992.6005,2733.74
2023-02-23,42675.8003,39942.0603,2733.74
2023-02-24,42407.7305,39673.9905,2733.74
2023-02-27,42556.2299,39822.4899,2733.74
2023-02-28,42669.6893,39870.0593,2799.63
2023-03-01,42888.4102,40088.7802,2799.63
2023-03-02,40122.8049,35418.5149,4704.29
2023-03-03,40147.3804,31684.0904,8463.29
2023-03-06,39948.31,31485.02,8463.29
2023-03-07,39414.6798,30951.3898,8463.29
2023-03-08,40458.5597,34552.2697,5906.29
2023-03-09,40168.6198,34262.3298,5906.29
2023-03-10,41784.7596,26430.5296,15354.23
2023-03-13,41800.5599,41585.3399,215.22
2023-03-14,41962.9804,41747.7604,215.22
2023-03-15,40309.7807,37201.1207,3108.66
2023-03-16,40375.2701,40316.6101,58.66
2023-03-17,40878.25,40819.59,58.66
2023-03-20,41191.3,41132.64,58.66
2023-03-21,40894.0099,40835.3499,58.66
2023-03-22,40714.3101,40655.6501,58.66
2023-03-23,41023.3598,40964.6998,58.66
2023-03-24,41055.9699,40978.0099,77.96
2023-03-27,40851.5299,40773.5699,77.96
2023-03-28,41067.1201,41061.8801,5.24
2023-03-29,41220.6099,41215.3699,5.24
2023-03-30,41329.3498,41324.1098,5.24
2023-03-31,41466.0504,41449.9604,16.09
2023-04-03,41387.7297,41371.6397,16.09
2023-04-04,41720.9009,41654.4809,66.42
2023-04-05,41830.0146,41763.5946,66.42
2023-04-06,41845.834,41779.414,66.42
2023-04-10,41916.7464,41839.8464,76.9
2023-04-11,42329.6214,42149.1314,180.49
2023-04-12,42376.8609,42196.3709,180.49
2023-04-13,42665.5154,42485.0254,180.49
2023-04-14,42386.8048,42206.3148,180.49
2023-04-17,42214.3976,41887.0876,327.31
2023-04-18,42249.4911,41922.1811,327.31
2023-04-19,42174.3917,41847.0817,327.31
2023-04-20,42008.1811,41680.8711,327.31
2023-04-21,41761.1458,41433.8358,327.31
2023-04-24,41952.7191,41632.7591,319.96
2023-04-25,41906.8073,38269.5373,3637.27
2023-04-26,41831.6632,38194.3932,3637.27
2023-04-27,42164.8577,38527.5877,3637.27
2023-04-28,42249.6973,38610.0773,3639.62
2023-05-01,41829.8603,41672.8403,157.02
2023-05-02,42126.8297,41969.8097,157.02
2023-05-03,42185.5636,42028.5436,157.02
2023-05-04,42217.7488,42060.7288,157.02
2023-05-05,42304.4288,42136.6888,167.74
2023-05-08,42071.7965,41848.8565,222.94
2023-05-09,42133.7063,41910.7663,222.94
2023-05-10,42233.3956,42010.4556,222.94
2023-05-11,41966.8503,41743.9103,222.94
2023-05-12,41886.4285,41663.4885,222.94
2023-05-15,42111.0129,41888.0729,222.94
2023-05-16,41751.7016,41528.7616,222.94
2023-05-17,41852.8711,41629.9311,222.94
2023-05-18,41543.7058,41320.7658,222.94
2023-05-19,41543.1601,41320.2201,222.94
2023-05-22,41584.4938,41543.9438,40.55
2023-05-23,41455.3764,41414.8264,40.55
2023-05-24,40969.8339,34190.1739,6779.66
2023-05-25,40817.367,30907.737,9909.63
2023-05-26,40860.6413,30951.0113,9909.63
2023-05-30,39118.489,36115.959,3002.53
2023-05-31,39001.1088,35990.9888,3010.12
2023-06-01,39115.5177,36105.3977,3010.12
2023-06-02,39149.0733,39128.7533,20.32
2023-06-05,38975.7912,38955.4712,20.32
2023-06-06,39120.9152,36197.8852,2923.03
2023-06-07,39156.4285,36233.3985,2923.03
2023-06-08,39243.3443,36320.3143,2923.03
2023-06-09,39170.7503,36247.7203,2923.03
2023-06-12,41009.2871,38432.9371,2576.35
2023-06-13,41135.0465,38558.6965,2576.35
2023-06-14,41046.7409,38470.3909,2576.35
2023-06-15,41152.7555,38576.4055,2576.35
2023-06-16,41468.82,38954.77,2514.05
2023-06-20,39443.1219,39219.0219,224.1
2023-06-21,39448.1597,35639.8697,3808.29
2023-06-22,39453.5515,35645.2615,3808.29
2023-06-23,39470.1933,35611.2833,3858.91
2023-06-26,39372.0102,38928.3902,443.62
2023-06-27,39417.8766,38974.2566,443.62
2023-06-28,39464.3245,35236.6345,4227.69
2023-06-29,39706.7624,35479.0724,4227.69
2023-06-30,39716.6945,35478.8545,4237.84
2023-07-03,41587.6718,40385.3118,1202.36
2023-07-05,41535.3694,40333.0094,1202.36
2023-07-06,41446.0827,40243.7227,1202.36
2023-07-07,41501.2153,40298.8553,1202.36
